9ef8e410-a51e-4c16-aa2a-fd705f20118d;ENGINES1;5;7;1;2;0;1000;0;0;21;1;1;
1969253f-72f8-49d3-9ab6-dcf78f2ca155;OXYGEN1;4;6;2;1;0;1000;0;0;15;0;1;
f62c5f67-d3ee-40d5-8c08-73f9f96dac2d;FISSION_REACTOR;3;3;2;2;0;3000;0;0;38;0;1;
8071c8c1-f052-4459-8c51-a380df9e83a5;HYPERDRIVE1;3;8;2;2;0;1000;0;0;37;0;1;
94fa9918-f900-400e-8159-d115735bd324;SENSORS1;8;6;2;1;0;1000;0;0;1;1;1;
8f86d8aa-4a5d-495f-9448-61e0944d1012;PILOTING1;10;6;2;1;0;5000;0;0;1;1;
69c4f8c0-9a0a-4a32-95f5-443ec5812a67;MODULAR_BASIC_SHIELDS;6;7;2;2;0;1000;0;0;40;0;1;
a362b7d0-4a22-40e9-8b99-7639d2ce567e;Basic_laser1;5;9;2;2;0;800;0;0;39;0;0.0;0.0;0.0;0;
a3a9f5e8-6131-4d09-b830-51b7b0084037;Basic_laser1;5;2;2;2;0;800;0;0;37;0;0.0;0.0;0.0;0;
373f34b5-d651-4d3c-ad5a-bedcf21a23d0;Basic_laser1;6;4;2;2;0;800;0;0;38;0;0.0;0.0;0.0;0;
b771045b-1950-4a45-91fb-e06a63be5775;DOOR_CONTROL1;6;6;2;1;0;1000;0;0;15;1;1;
